title,available,promotion,terms_and_conditions,link
Get up to 30% OFF dining at Pavilion Kuala Lumpur,8 July 2022 – 31 July 2023,Click here for more info.,"• Payment must be made with a Maybank Mastercard®, Visa or American Express® Card, except Debit and Prepaid Cards, unless otherwise stated.• Promotions are valid from 8 July 2022 until 31 July 2023, unless otherwise stated and at the respective stores in Pavilion Kuala Lumpur only except Starbucks’ validity till 28 February 2023.• Offers are valid for dine-in, unless stated otherwise.• Offers are not applicable for service charge and tax.• Offer cannot be exchanged for cash or used in conjunction with other ongoing promotions, discounts, offer coupons, vouchers, loyalty programs and member privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/07/14/get-up-to-30-off-dining-at-pavilion-kuala-lumpur/
"Food & groceries, just a call away. Platinum Concierge, here to serve you",Valid until further notice,"Maison Oishi:
10% savings on total bill
Complimentary delivery with a minimum spend of RM150 within Klang Valley","● Payment must be made with The Platinum Card® issued by Maybank Malaysia.● Offers are valid during MCO period only, unless otherwise stated.● Offers exclude delivery fees, unless otherwise stated. Delivery fees apply according to respective outlets.● Offers cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.● Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2021/09/23/food-groceries-just-a-call-away-platinum-concierge-here-to-serve-you-2/
Exclusive offer for Maybank Cards at Viya’s,28 March 2023 – 31 December 2023,Suitable for female customer only.,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 28 March 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards. 4.Valid Mon – Fri – 10am – 9pm. Not valid on weekend/public holidays. Suitable for female customer only.5.Valid for customers aged 22 and above.6.Valid for Malaysian only.7.Present NRIC/valid Work Pass at outlet for verification.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/exclusive-offer-for-maybank-cards-at-viyas/
Enjoy 10% OFF  at Flash Gadgets,1 January 2023 – 31 December 2023,Offer is capped at a maximum of RM30 per receipt,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/ vouchers and loyalty/privilege cards.4. Offer is valid for first trial customers only5. Subject to terms & conditions imposed by Flash Gadgets.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/enjoy-10-off-at-flash-gadgets/
10% OFF at Babyshop,12 May 2023 – 11 August 2023,10% OFF when you spend a minimum of RM200 at Babyshop,"• Payment must be made with a Maybank/ Maybank Islamic MasterCard, Visa or American Express Card.• Offer cannot be exchanged for cash or be used in conjunction with other promotions/offers, coupons/vouchers or loyalty/privilege cards.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by respective party.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/26/10-off-at-babyshop/
10% OFF at Max Fashion,12 May 2023 – 11 August 2023,10% OFF when you spend a minimum of RM150 at Max Fashion,"• Payment must be made with a Maybank/Maybank Islamic MasterCard, Visa or American Express Card.• Offer cannot be exchanged for cash or be used in conjunction with other promotions/offers, coupons/vouchers or loyalty/privilege cards.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by respective party.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/26/10-off-at-max-fashion/
RM50 OFF at Triumph/Sloggi,20 May 2023 – 21 July 2023,Get RM50 OFF when you spend on Triumph or sloggi normal-priced concept bra at 23 selected Parkson stores nationwide,"• Payment must be made with a Maybank Islamic MasterCard, Visa or American Express Card.• Offer is not applicable for panties.• Offer is valid while stocks last.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/privilege cards.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by respective party.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/26/rm50-off-at-triumph-sloggi/
Enjoy complimentary facial worth RM500 on your birthday + 0% EzyPay at Zenth,1 May 2023 – 31 December 2023,Maybank 0% EzyPay Instalment Plan available up to 24 months,"• Applicable to The Platinum Card®, American Express® Platinum Credit Card, American Express® Gold Card, American Express® Green Card, Singapore Airlines KrisFlyer American Express® Platinum Credit Card, Singapore Airlines KrisFlyer American Express® Gold Credit Card, Maybank 2 Cards Reserve American Express® Card, all Maybank Visa Infinite Cards, all Maybank World Mastercard® and Visa Signature Cards.• To enjoy the offer, presentation of a valid Maybank Card and Identity Card is required for verification purposes.• Offer must be redeemed on birthday month. Offer is applicable for new Zenth Pore Specialist customers who are Malaysian citizens aged 21 years old and above.• The treatments are not transferable and not exchangeable for cash or other products/treatments/services.• Prior appointment is required and subject to availability on first come, first served basis.• Please call the respective outlet of your choice for an appointment. Maybank 0% EzyPay Instalment Plan is only applicable for Maybank Charge and Credit Cards.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by the participating merchant.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/12/enjoy-complimentary-facial-worth-rm500-on-your-birthday-0-ezypay-at-zenth/
Get RM50 OFF at Lazo Diamond,1 January 2023 – 31 December 2023,The value of RM50 must be redeemed on the spot with minimum purchase of RM300 and maximum capped at RM500,"• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or American Express® Card.• Offer cannot be exchanged for cash or used in conjunction/combination with other discounts, promotions, vouchers or loyalty/privilege cards.• Other terms and conditions apply",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/get-rm50-off-at-lazo-diamond/
Exclusive offer for Maybank cardmembers at Royal Safe Deposit Boxes,1 January 2023 – 31 December 2023,,"● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/exclusive-offer-for-maybank-cardmembers-at-royal-safe-deposit-boxes/
10% OFF at Birkenstock,15 January 2023 – 30 September 2023,"Online:
Additional 10% OFF* regular and promo priced items","Online:● Payment must be made with a Maybank Mastercard, Visa or American Express Card.• Go to website link below. Enter and apply the voucher code “STARMBB100” at checkout page• Purchase in a single transaction only• This offer is not applicable for retail purchase• Applicable for Birkenstock items only• This offer is not redeemable or exchangeable for cash• The company deserve the right to vary and amend any of the above terms and conditions without prior notice",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/10-off-at-birkenstock/
Extra 5% OFF Stoneline Cookware at Kitchen Club,1 January 2023 – 31 December 2023,"Extra 5% OFF Stoneline Cookware at Kitchen club
*Only applicable for this brand and physical store only","● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/extra-5-off-stoneline-cookware-at-kitchen-club/
20% OFF Mcdodo Accessories at DirectD.,1 January 2023 – 31 December 2023,"20% OFF all Mcdodo accessories exclusive for Maybank cardholders, available at all DirectD outlets.","● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/20-off-mcdodo-accessories-at-directd/
Get complimentary blue coat lenses at Focus Point,1 January 2023 – 31 December 2023,Complimentary one (1) pair of Hoshi 1.6 Blue Coat Lenses with purchase of a Pair of Branded Frames above RM500 at Focus Point,"1. Payment must be made with Maybank Cards (Mastercard & Visa Cards)2. This promotion is valid only with purchase of pair of branded frames above RM500(after discounted price).3. This promotion is only valid at participating Focus Point outlets in Malaysia.4. Offer is non-transferable or exchangeable for cash pr other products.5. The complimentary pair of Hoshi 1.6 Blue Coat Lenses must be redeemed during the purchase. Otherwise, the entiltlement will be voided.6. Offer cannot be exchanged for cash or used in conjunction with other promotions,offers, coupons,vouchers and loyalty/privilege cards.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/get-complimentary-blue-coat-lenses-at-focus-point/
18% OFF For  Flowers / Gift at Eksa,1 April 2023 – 31 December 2023,Shop online at www.eskacreative.com,"• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or American Express® Card.• Cardmembers must access to the link https://www.eskacreative.com/ and apply the Promo Code.• Offer cannot be used for festive gift selections.• Each Cardmember is entitled and limited to redeem this promo code at a maximum of 3 times.• FREE delivery is within Klang Valley only.• No refund or exchange or cancellation once payment an order has been confirmed.• Offer cannot be exchanged for cash or used in conjunction/ combination with other promo codes, discount cards and vouchers.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/03/15-off-for-flowers-gift-at-eksa/
Up to 15% OFF For New and Existing Customer at Happy Bunch,1 January 2023 – 31 December 2023,Shop now at www.happybunch.com.my,"• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa Credit, Debit or Prepaid Card.• Cardmembers are required to enter their Maybank Card numbers and Promo Code at the point of checkout at www.happybunch.com.my.• Promotion is valid for Happy Bunch Flowers, Plants and Gift Boxes only.• Promotion is not applicable on add-on items.• Only one Promo Code is acceptable per transaction and Promo Code is valid for one (1) redemption per user.• Not valid for use in conjunction with other on-going promotion, offers, discounts, promo codes and cannot be redeemable or exchangeable for cash.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/03/up-to-15-off-for-new-and-existing-customer-at-happy-bunch/
Year-long savings on jewellery at Tomei,1 January 2023 – 31 December 2023,30% OFF selected white gold items,"• Applicable to The Platinum Card®, American Express® Platinum Credit Card, American Express® Gold Card, American Express® Green Card, Singapore Airlines KrisFlyer American Express® Platinum Credit Card, Singapore Airlines KrisFlyer American Express® Gold Credit Card, Maybank 2 Cards Reserve American Express® Card, all Maybank/Maybank Islamic Visa Infinite Cards, all Maybank/Maybank Islamic World Mastercard® and Visa Signature Cards. • Offer is applicable for normal-priced 18K jewellery items. • Offer is not applicable for Le Lumiere, loose stones and clearance items. • Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards. • Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/02/year-long-savings-on-jewellery-at-tomei/
"5% OFF at Printemps, Paris",1 January 2023 – 31 December 2023,"5% OFF on all your purchase & priority tax refund
Tea time served at Printemps rooftop
A Personal Assistant, Personal Shopper and Personalized Welcome at Printemps VIP lounge with prior booking
Shopping Delivery at the address of your stay in Paris","1. Payment must be made with a Maybank Mastercard, Visa or American Express Cards. (Issued by Maybank & Maybank Islamic Malaysia, Singapore, Indonesia, Cambodia, Brunei & Philippines).2. *Maybank Premium Cards consist of Maybank issued World Mastercard®, Visa Signature or Infinite Credit Card, The Platinum Card®, American Express® Platinum Credit Card, American Express® Gold Card, The American Express® Card, Singapore Airlines KrisFlyer American Express® Gold Credit Card and Premier American Express® Reserve Credit Card.3. Present this invitation at Printemps Haussmann Reception for redemption.4. This special offer is valid for two persons, only once, upon presentation of this invitation until 31 December 2023.5. To enjoy the Personal Shopping service, please make an appointment by emailing personalshopper@printemps.fr, at least 48 hours before your visit.6. Some exclusions apply. Upon subscription to Printania loyalty program.7. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers/coupons//vouchers and loyalty/privilege cards.8. Maybank makes no representation as to the quality, merchantability or the fitness for any purpose of the goods and/or service(s) provided by the respective party. Maybank shall not at any time be responsible or held liable for any loss, injury, damage or harm suffered or incurred by or in connection with the promotion.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/01/14/5-off-at-printemps-paris/
Get up to 50% OFF at Pavilion Kuala Lumpur,21 September 2022 – 31 July 2023,"Enjoy up to 50% OFF at retails & spa in Pavilion Kuala Lumpur.
Click here for more details","• Payment must be made with a Maybank Mastercard®, Visa or American Express® Card, except Debit and Prepaid Cards, unless otherwise stated.• Promotions are valid from 21 September 2022 until 31 July 2023 at the respective stores in Pavilion Kuala Lumpur only.• Offers cannot be exchanged for cash or used in conjunction/ combination with other discounts, promotions, vouchers or loyalty/ privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/10/12/get-up-to-50-off-at-pavilion-kuala-lumpur/
10% OFF at MBG,1 January 2023 – 31 December 2023,10% OFF with minimum purchase of RM50 at MBG,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 Decemebr 2023.3. This offer is valid for normal priced items only and not valid with other promotions, offers, discounts or vouchers and cannot be exchanged for cash or other items.4. This offer is not applicable to be used at outlets.5. Redemption is only valid at www.mbg.com.my6. Redemption is limited to 1 redemption per transaction.7. Key in promo code: MBGMAY10 upon the checkout page to enjoy this offer.8. Delivery service only covers for Klang Valley area.9. This promotion cannot be used in conjunction with any other discounts, privileges and promotions unless otherwise stated.10. Subject to terms & conditions imposed by MBG.11. Maybank makes no representation or warranty for product and services offered by MBG and shall not be liable or responsible for any changes, claims, loss or damages resulting from this offer. Pictures shown are for illustration only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/10-off-at-mbg/
Up to 30% OFF  at keatchen,1 January 2023 – 31 December 2023,Offer 2: Enjoy up to RM10 off for your total order at keatchen (with a minimum order of RM50),1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 Decemebr 2023.3. Offer 1 is valid with a minimum purchase of RM25 (discount capped at RM8 ).4. Offer 2 is valid with a minimum purchase of RM50 (discount capped at RM10).5. Offer is valid for all items in kEATchen store.6. Offer is applicable up to 10 times per user.7. Key in promo code: KEATCHENM30 for offer 1 and KEATCHENM10 for offer 2 upon checkout to enjoy the offer.8. Offer is valid for redemption at https://order.keatchen.my/9. Subject to terms & conditions imposed by keatchen.,https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/up-to-30-off-at-keatchen/
15% discount at  hawkrfood.com,1 January 2023 – 31 December 2023,15% discount on total order and delivery fees for all self pick-up and delivery orders made through hawkrfood.com,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Promo code can be used for an unlimited number of times.4. There is no minimum order amount to qualify for the discount.5. There is no maximum cap for the discount amount.6. The offer is for both new and existing customers.7. Cardholders are required to register an account on hawkrfood.com and key in the promo code MAYBANKHAWKR in the “Special Request” field to be eligible for the Cashback.8. The Cashback will be credited to your Maybank card.9. This promotion cannot be used in conjunction with any other discounts, privileges and promotions unless otherwise stated.10. Subject to terms & conditions imposed by Hawkr .11. Maybank makes no representation or warranty for product and services offered by Hawkr and shall not be liable or responsible for any changes, claims, loss or damages resulting from this offer. Pictures shown are for illustration purposes only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-discount-at-hawkrfood-com/
10% OFF at Cake Together,1 January 2023 – 31 December 2023,10% OFF at Cake Together,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. The promotion is only applicable to the value of the cake.5. The promotion is exclusive of delivery charges.6. Key-in promo code CTMB2023 at the checkout caketogether.com7. Promotion is only applicable in cities which Cake Together is operating within Klang Valley, Penang and Johor Bahru.8. Subject to terms & conditions imposed by Cake Together.9. Maybank makes no representation or warranty for product and services offered by Cake Together Sdn Bhd and shall not be liable or responsible for any changes, claims, loss or damages resulting from this offer. Pictures shown are for illustration purposes only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/10-off-at-cake-together/
15% OFF at Art of Salmo,1 January 2023 – 31 December 2023,15% OFF with minimum purchase of RM80 at Art of Salmo (exclude promotional item).,"1.Payment must be made with a Maybank Mastercard or Visa Card.2.Promotion is valid from 1 January 2023 until 31 December 2023.3. Price is not inclusive of delivery charges of RM15 for standard delivery / RM20 for delivery at specific timing. Pick up option is available at Perdana The Place, 11am -6pm, Tuesday – Saturday, 11am – 2pm, Sunday.4. Delivery will be on every Tuesday, Thursday and Saturday, from 2pm – 6pm.5. Delivery arrangements will need to be communicated via WhatsApp at 0102119019.6. Please place the order at https://www.artofsalmo.com/7. Key in promo code: MBBXAOS to enjoy the discount.8. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts, vouchers, privileges or promotions (unless otherwise specified).9. The promotion cannot be exchanged for cash or other products.10. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods or service is to be resolved directly with the partner.11. Subject to terms & conditions imposed by Art of Salmo.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-at-art-of-salmo/
Get up to RM35 OFF every Tuesday & more on Shopee App with Maybank Cards,24 January 2023 – 16 January 2024,"31 January 2023 – 31 December 2023
Shopee Month-End Sale with Maybank Shopee Visa Platinum Credit Card
Free Shipping voucher, capped at RM8 with no minimum spend","Shopee Month-End Sale with Maybank Shopee Visa Platinum Credit Card1. Promotion is valid for Maybank Shopee Visa Platinum Credit Card.2. Promotion is capped at 300 Cardmembers per month only.3. Promotion Code is only valid for one time use per Cardmember on the last day of every month.4. Promotion is valid for checkouts made via the Shopee app only.5. Promotion is valid on a first-come-first-serve basis only.6. Promotion is valid for platform-wide.7. Promotion is not refundable, non-transferable, and is not redeemable for cash.8. Promotion is applicable to the existing Shopee Users only.9. For enquiries or assistance on Shopee Online, please contact Shopee Customer Service at +603 2777 9222.10. Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/04/19/get-up-to-rm35-off-every-tuesday-more-on-shopee-app-with-maybank-cards/
Get RM200 Cash Back with Maybank Grab Platinum Credit Card,1 April 2023 – 30 September 2023,*Applicable to New-to-Bank customers only,,https://mytreats.maybank.com/cardpromotions/malaysia/2023/04/18/get-rm200-cash-back-with-maybank-grab-platinum-credit-card/
RM 50 OFF at CompAsia,15 April 2023 – 30 December 2023,Purchase via https://shop.compasia.com,"1. Payment must be made with Maybank/Maybank Islamic Mastercard®, Visa or American Express®2. Offers cannot be exchanged for cash or used in conjunction with any other promotions, offers, loyalty card or coupons.3. Maybank makes no representation as to the quality, merchantability, or the fitness for any purpose of the goods and/or service(s) provided by the respective party. Maybank shall not at any time be responsible or held liable for any loss, injury, damage or harm suffered or incurred by or in connection with the promotion.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/04/14/rm-50-off-at-compasia/
15% OFF + 5% Cashback at zalora,18 January 2023 – 31 December 2023,15% OFF + 5% Cashback with a minimum spend of RM200 in a single receipt* (Promo Code: MAYBANKYL23),"• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or AmericanExpress Card® issued by Maybank Malaysia, Singapore, Indonesia, Philippines, Cambodiaand Brunei.• *Discount is capped at RM100. Offer is applicable to all existing and new ZALORA users.• Offer is not stackable on top of Campaign Voucher on ZALORA site.• Promo Code is for multi-usage per user.• Promo Code may be used on www.zalora.my and must be entered upon checkout to be effective.• Promo Code is applicable for both ZALORA items and Sellers’ items.• Brands and item exclusions apply.• Promotion is not valid for use in conjunction with other Promo Codes and cannot be exchanged for cash.• Cashback earning is calculated from the price of the item after discount, where the amount of cashback earned depends on the current promotion.• The cashback will be credited into your Zalora’s account after the delivery of offers have been confirmed and after the expiry of refund/ exchange period of 30 days.• The earned cashback can only be utilized on ZALORA mobile app and valid for 90 days from the date of purchase.• Promotion excludes alcoholic beverages.• Delivery is within Malaysia only.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/15-off-5-cashback-at-zalora/
Up to RM50 OFF at KTS Cellular,1 January 2023 – 31 December 2023,"Promo code as below:
MBB30 for RM30 OFF with a min spend of RM500
MBB50 for RM50 OFF with a min spend of RM700","1. Payment must be made with Maybank Cards (Mastercard/Visa/American Express Cards).2. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/27/up-to-rm50-off-at-kts-cellular/
Receive 15% OFF with no minimum spend at Flower Chimp,1 January 2023 – 31 December 2023,"Receive 15% OFF with no minimum spend at www.flowerchimp.com
(Promo Code: MBB2023)","• Payment must be made with a Maybank/Maybank Islamic Mastercard® or Visa Card.• There is no capping on the discount.• Offers cannot be exchanged for cash or used in conjunction with other discount, promotions, vouchers or loyalty/ privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/01/13/receive-15-off-with-no-minimum-spend-at-flower-chimp/
Receive 10% OFF with no minimum spend at CakeRush,1 January 2023 – 31 December 2023,"Receive 10% OFF with no minimum spend at www.cakerush.my
(Promo Code: MBB2023)","• Payment must be made with a Maybank/Maybank Islamic Mastercard® or Visa Card.• There is no capping on the discount.• Offers cannot be exchanged for cash or used in conjunction with other discount, promotions, vouchers or loyalty/ privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/01/13/receive-10-off-with-no-minimum-spend-at-cakerush/
Up to 15% OFF at Offspring,1 September 2022 – 31 August 2023,"• 15% OFF with a minimum spend of RM50 on normal-priced items, for first purchase
• 10% OFF with a minimum spend of RM300 in a single receipt on subsequent normal-priced items purchase
• Complimentary delivery within Malaysia with a minimum spend of RM180","• Payment must be made with a Maybank/Maybank Islamic Mastercard® or Visa Card, except Debit and Prepaid Cards.• Offers are only valid at Offspring webstore.• Offers cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/09/09/up-to-15-off-at-offspring/
Enjoy RM5 savings on TGV Cinemas advance sales IMAX Ticket,27 June 2023 – 11 July 2023,"Important Note:
• Promotion is limited to the first 2,000 promotional TGV IMAX tickets purchased via TGV website or TGV mobile app (sign-in with a MovieClub membership), collectively across all participating hall types and TGV Cinemas locations throughout the promotion period.
• Limited to 2X promotional IMAX tickets per transaction.","1. Promotion is valid from 27 June 2023 until 11 July 2023, or while promotional tickets last, whichever is earlier.2. Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa, American Express® Credit or Charge Card.3. Promotion is limited to the first 2,000 promotional TGV IMAX tickets purchased via TGV website or TGV mobile app (sign-in with a MovieClub membership), collectively across all participating hall types and TGV Cinemas locations throughout the promotion period.4. Promotion is not valid for tickets purchase made via Ticketing Counter or Kiosk.5. Limited to 2X promotional IMAX tickets per transaction.6. Cash top up is required for other seat types, if any.7. Promotion is not valid in conjunction with other promotions, use of movie vouchers or hall bookings.8. Subject to screening terms & conditions imposed by TGV Cinemas.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/21/enjoy-rm5-savings-on-tgv-cinemas-advance-sales-imax-ticket/
Get up to 10% OFF Qatar Airways bookings,1 June 2023 – 31 October 2023,"Travel blackout period:
Inbound: 14 July 2023 – 6 August 2023
Outbound: 28 July 2023 – 27 August 2023","1. This offer is valid with bookings made online at www.qatarairways.com/maybank using promotional code MBQR23 and payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or American Express® Credit/Charge Card or Debit Card.2. Sales period: 1 June 2023 – 31 October 20233. Travel period: 1 May 2023 – 31 December 2023, blackout dates apply.4. Travel blackout period:Inbound: 14 July 2023 – 6 August 2023Outbound: 28 July 2023 – 27 August 20235. Qatar Airways will not be responsible for any fare differences if customers fail to enter the given promo code at the time of booking.6. Fares displayed will already include the applicable discounts.7. Flights eligible for the discount are clearly signaled with a sales tag beside them. Please ensure only flights eligible for the discount are selected when booking.8. Customers who did not receive a discount, cannot be credited retrospectively.9. Save 10% on Business Class Comfort fares (only valid on booking class: I, D).10. Save 10% on Economy Class Convenience fares (only valid on booking class: N, S, V, L, M, K).11. Save 7% on Economy Class and Business Class Classic fares (only valid on booking class: O, T, Q and R, I). I-class included here as the more restrictive discount applies.12. Offer does not apply to Economy Class Lite and Comfort fares (Booking class: W, H, B, Y), and Premium Class Lite and Elite fares (Booking class: P, C, J, A, F).13. The promo code discount, on some occasions, will be inclusive of any discounts that has already been applied on the fares itself.14. Valid only on Qatar Airways flights from Singapore, Malaysia and Indonesia.15. Valid to the following destinations: Abu Dhabi, Ankara, Amsterdam, Athens, Atlanta, Baku, Barcelona, Belgrade, Berlin, Boston, Brussels, Bucharest, Budapest, Cape Town, Chicago, Copenhagen, Dallas, Dubai, Doha, Dublin, Durban, Edinburgh, Frankfurt, Geneva, Helsinki, Houston, Johannesburg, Kilimanjaro, Larnaca, London, Los Angeles, Luxon, Madrid, Manchester, Miami, Milan, Mombasa, Moscow, Munich, Montreal, Nairobi, New York, Oslo, Paris, Philadelphia, Pisa, Prague, Rome, Sao Paulo, Sofia, San Francisco, Seattle, Seychelles, Sharjah, St. Petersburg, Stockholm, Tbilisi, Venice, Vienna, Washington, Warsaw, Windhoek, Yerevan, Zagreb, Zanzibar, Zurich.16. All-in fares include all taxes, fees, and surcharges which are subject to currency fluctuation.17. Peak period surcharges may apply.18. Fares are subject to change without prior notice.19. Discount applies to one-way and return base fare only of selected fare classes.20. Discount does not apply to taxes and all other surcharges.21. Seats are limited and are subject to availability of the relevant booking class.22. Minimum and maximum stay as well as advance purchase rules apply dependent on the booking class.23. Blackout dates and surcharges may apply. Please refer to the fare rules for details at the time of booking.24. Please refer to the fare rules at the time of booking for changes, cancellations and no-show conditions.25. Any change or cancellation less than 3 hours prior to the stated time of departure will be considered as no-show.26. For travel involving multiple booking classes, the most restrictive fare rules apply to the entire itinerary.27. Standard child/infant discount apply.28. Please note that market-specific promotional fares may be available for selected dates and destinations, and may not be eligible for the discounts under this offer. All available options, together with the applicable terms & conditions for each fare will be displayed at time of booking for you to make your selection.29. Qatar Airway’s terms and conditions will also apply to your booking, please review these at the time of booking.30. Other terms and conditions apply. Please review at the time of booking. Seats are limited and are subject to availability of the relevant booking class.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/31/get-up-to-10-off-qatar-airways-bookings/
"RM5 OFF TGV IMAX Tickets every Friday, Saturday and Sunday!",2 June 2023 – 26 May 2024,"• Promotion is applicable for IMAX movie sessions (applicable to IMAX standard seats only) that falls on every Friday, Saturday, and Sunday within the promotion period (applicable for show times after 6.00am).
• The promotional IMAX tickets are available for purchase via TGV website or TGV mobile app (sign-in with a MovieClub membership) only.
• Limited to 2X promotional IMAX tickets per transaction.
• Limited to the first 1,000 promotional IMAX tickets purchase on a weekly basis (from Friday to Sunday), collectively across all TGV Cinemas locations with IMAX screens.","• Promotion is valid from 2 June 2023 until 26 May 2024.• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa, American Express® Charge/Credit Card or Debit Card issued by Maybank Malaysia, Singapore, Indonesia, Philippines, Cambodia or Brunei.• Promotion is applicable for IMAX movie sessions that fall on every Friday, Saturday, and Sunday within the promotion period (applicable for show times after 6.00am).• Promotion is applicable to IMAX standard seats only.• The promotional IMAX tickets are available for purchase via TGV website or TGV mobile app (sign-in with a MovieClub membership) only. Not valid for ticket purchase made via Ticketing Counter or Kiosk.• Promotion is limited to 2X promotional IMAX tickets per transaction.• Promotion is limited to 1,000 promotional IMAX tickets per week (from Friday to Sunday), on a first come, first serve basis, collectively across all TGV Cinemas locations with IMAX screens.• Subject to terms & conditions imposed by TGV Cinemas.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/31/rm5-off-tgv-imax-tickets-every-friday-saturday-and-sunday/
